V1;CORRELA_16;CORRE_9;IDOJ1;IDAIO;CIMREP;BRUTA;CONSUI;GAS;EMPAQUE;HONORA;COMISION;ARRIENDO;SEGURO;ASEO;ENERGIA;COMUNICA;PUBLICO;FLETES;PUBLICI;ADECUA;REGALA;OUTSOURCING;OTROS;SUELDOS;PRESTAC;VENTA;AGREGA;PERREMUN;SOCIOS;PERSONOM;DIRECTO;AGENCIA;APRENDIZ;TOTPERSO;PROMUJ;PROHOM;PERMUJ;PERHOM;DIRMUJ;DIRHOM;AGEMUJ;AGEHOM;APRENMUJ;APRENHOM;TOTMUJ;TOTHOM;SUEPLAN;PREPLAN;REMPLAN;COTIZA;GASAGEN;REMTEMP;TOTREM;INVINI;INVFIN;ROTACION;INVPRO;CTO;CTOINS;GASTOS;GASTOSNOP;GASTOPNOP
990160;453;453-454;14;2011;0;2507527;652529;0;0;105200;4000;355500;25890;11100;47687;27000;8500;19057;3600;14300;0;0;30695;577648;227809;8320689;1854998;23;0;21;2;0;0;23;0;0;4;17;2;0;0;0;0;0;6;17;532456;126627;649442;88359,12;0;45192;782993,12;2063147;1872654;5813162;1967900,5;5813162;5813162;6508986;440977;7889910
1661534;453;453-454;14;2002;62656;2115478;435378;0;38;44309;0;8280;41589;2137;15740;4220;1597;3296;9918;232115;0;0;72139;405026;146727;8188919;1680100;14;0;14;0;0;0;14;0;0;5;9;0;0;0;0;0;0;5;9;405026;73953;478979;63896,88;0;0;542875,88;1721988;1397211;6010785,04;1559599,5;6010785;6073441;6650161;477013;7723964
991790;453;453-454;14;2000;0;1770904;407255;0;2583;51325;90420;128308;6813;4479;10400;19608;4295;39266;0;7393;0;0;42365;552940;195292;7988448,138;1363649;14;1;14;0;0;0;15;1;0;2;12;0;0;0;0;0;0;3;12;552940;99420;652360;82951,68;0;0;735311,68;2627251;3028483;6170427;2827867;6170427;6170427;6759193;221762;7840350
1891131;453;453-454;14;1972;86061;2725915;706724;1693;6656;71412;7563;211512;23587;5629;25714;18963;4251;30795;69362;101432;0;0;128155;719987;333121;7939337,424;2019191;18;0;18;0;0;1;19;0;0;8;10;0;0;0;0;1;0;9;10;708807;204652;913459;110769,64;0;0;1024228,64;2366354;2797058;5080245,033;2581706;5080245;5166306;6129186;397023;7597738
988688;453;453-454;14;1994;1035133;3050413;539047,5;0;0;169496;0;145086;44619;10700;56431;36642;13443;3900;385;9403;0;35597;13345,5;1076116;404853;7902085,882;2511365,5;57;0;15;42;0;3;60;0;0;3;12;10;32;0;0;0;3;13;47;415954;203739;493017;176802,16;0;618402;1288221,16;2787351;3650803;3863426,322;3219077;3863426;4898559;5571015;506814;7622328
1225594;453;453-454;14;1975;0;2355484;915677,5;14921;13292;78372;242661;386631;820;4867;30048;7226;11013;8346;6910;79423;0;0;31147,5;547576;227027;7893598;1439806,5;27;1;27;0;0;1;29;0;1;8;19;0;0;0;0;1;0;9;20;540481;127845;668326;86413,44;0;0;754739,44;2842690;3133103;5538114;2987896,5;5538114;5538114;6641379;49485;7547046
1887836;453;453-454;14;1977;0;3255256;1152645,5;0;33089;178645;115;351203;21453;5471;108998;24788;8511;60596;9988;191887;0;35640;122261,5;1620091;677876;7884802,631;2102610,5;65;0;65;0;0;2;67;0;0;25;40;0;0;0;0;2;0;27;40;1604957;373080;1978037;268634,56;0;0;2246671,56;1636095;1890598;4676433;1763346,5;4676433;4676433;6034542;487772;8984420
1220599;453;453-454;14;1977;0;1241522;295500,5;0;6117;24000;0;122165;5235;2970;6825;10013;2292;37631;14337;8916;0;0;54999,5;296206;110787;7788023,224;946021,5;14;0;14;0;0;0;14;0;0;4;10;0;0;0;0;0;0;4;10;296206;55448;351654;48534,44;0;0;400188,44;2505774;2679561;6593389;2592667,5;6593389;6593389;7017426;43506;7490488
990673;453;453-454;14;2011;0;2138460;405954,5;0;0;58556;0;135996;37858;2737;43382;8359;3138;11140;34454;48698;0;0;21636,5;872347;385506;7760562,825;1732505,5;35;0;35;0;0;2;37;0;0;10;25;0;0;0;0;0;2;10;27;850307;205530;1055837;160456,08;0;0;1216293,08;1987632;2924101;5574989;2455866,5;5574989;5574989;6088530;132798;7516612
993244;453;453-454;14;1997;0;1811058;370639,5;0;0;32897;0;132585;14939;360;28871;18361;9340;11518;5623;41913;0;3117;71115,5;661133;289232;7628001,898;1440418,5;31;0;31;0;0;2;33;0;0;9;22;0;0;0;0;1;1;10;23;643200;147602;790802;122088,24;0;0;912890,24;3000689;3329356;5769832;3165022,5;5769832;5769832;6297609;254433;7537323
1768990;453;453-454;14;1980;0;1065592;104136,5;0;641;21442;0;1500;8405;1614;8392;8392;3003;24750;0;399;0;0;25598,5;426796;176614;7545003,691;961455,5;24;0;24;0;0;1;25;0;0;8;16;0;0;0;0;0;1;8;17;419836;100340;520176;67026,16;0;0;587202,16;523331;482715;6432301;503023;6432301;6432301;6613558;55436;7308509
993646;453;453-454;14;2005;1053710;3826860;649201;0;0;356480;0;0;0;198841;33215;4214;21360;5201;0;25741;0;0;4149;283283;122604;7543242,665;3177659;18;0;18;0;0;0;18;0;0;8;10;0;0;0;0;0;0;8;10;283283;66486;349769;49772,64;0;0;399541,64;877055;986196;2709565,131;931625,5;2709564;3763274;4522424;15110;5023682
1890969;453;453-454;14;2005;0;3420884;243899;0;0;44327;2418;59912;17302;3031;7882;4803;1046;30207;0;14053;0;0;58918;1096509;488238;7498220,011;3176985;21;0;21;0;0;1;22;0;0;5;16;0;0;0;0;0;1;5;17;1085644;239390;1325034;209742,64;0;0;1534776,64;1602895;2464638;4124228;2033766,5;4124228;4124228;4537768;401476;6555241
1217981;453;453-454;14;1990;0;2239031;559596,5;671;0;74340;0;162732;13791;4832;11165;15686;6638;21664;410;187282;0;0;60385,5;294037;125593;7249611;1679434,5;14;0;1;13;0;1;15;0;0;0;1;4;9;0;0;0;1;4;11;65406;67789;80770;49804,96;0;223179;353753,96;2964240;2941483;5010580;2952861,5;5010580;5010580;5734006;273481;6453772
1009443;453;453-454;14;2001;0;1734193;619170,5;0;13875;189190;0;129172;56489;14250;36510;23259;12809;10271;4560;29736;0;0;99049,5;477040;169474;7185095;1115022,5;20;0;20;0;0;1;21;0;0;5;15;0;0;0;0;1;0;6;15;465432;83131;548563;75367;0;0;623930;947111;936367;5450902;941739;5450902;5450902;6251081;140061;7175512
1228454;453;453-454;14;1977;0;2338920;569119;216;1412;138248;0;73280;5674;14633;8206;12251;5802;153972;4910;86007;0;0;64508;486747;195724;6947043;1769801;18;0;18;0;0;0;18;0;0;7;11;0;0;0;0;0;0;7;11;486747;119063;605810;66827,96;0;0;672637,96;1527708;1428925;4608123;1478316,5;4608123;4608123;5358780;223331;6297310
1891148;453;453-454;14;1991;0;2619170;893477,5;0;4278;196990;69299;224845;97979;1176;21688;17701;8301;23705;32690;62216;0;86974;45635,5;646623;255363;6945731,979;1725692,5;19;0;10;9;0;0;19;0;0;3;7;4;5;0;0;0;0;7;12;387974;144235;474515;96771,84;0;258649;829935,84;3457272;1996364;4279460;2726818;4279460;4279460;5296186;665146;6886212
1226971;453;453-454;14;2001;0;2468775;460125;683;11648;31331;0;75396;19938;5308;11656;14305;2028;173782;3112;45997;0;0;64941;374528;158691;6907607,424;2008650;11;2;11;0;0;0;13;1;1;1;10;0;0;0;0;0;0;2;11;374528;86945;461473;62652,16;0;0;524125,16;2792003;2081522;4485733;2436762,5;4485733;4485733;5273283;757994;6629257
994931;453;453-454;14;2011;0;520548;133385;0;0;20400;0;52300;26100;1100;4810;2980;1000;16300;0;0;0;0;8395;146160;54835;6904650;387163;12;1;12;0;0;0;13;0;1;1;11;0;0;0;0;0;0;1;12;146160;25819;171979;25555,2;0;0;197534,2;1570580;1953337;6384102;1761958,5;6384102;6384102;6596278;0;6814913
1225630;453;453-454;14;1981;180323;1797117;285218;0;0;62411;13126;65642;23092;7869;14528;29518;6216;5757;0;15514;0;0;41545;819819;217957;6532611,973;1511899;17;0;17;0;0;1;18;0;0;6;11;0;0;0;0;1;0;7;11;805899;63972;869871;129664,2;0;0;999535,2;424199;166010;4508076,611;295104,5;4508076;4688399;5131135;278909;6489723
1008427;453;453-454;14;1990;0;1543624;768663,5;0;0;149819;180783;165600;2074;1291;55768;12338;6791;148893;0;15388;0;0;29918,5;287232;97159;6493027,397;774960,5;10;0;10;0;0;0;10;0;0;3;7;0;0;0;0;0;0;3;7;287232;49369;336601;41539,84;0;0;378140,84;4402557;3524040;4996310;3963298,5;4996310;4996310;5894037;289775;6587135
991422;453;453-454;14;2007;0;800663;348404,5;0;0;38796;0;53499;0;6098;148601;1097;21570;13316;0;26441;0;0;38986,5;202420;74422;6334513;452258,5;9;0;9;0;0;0;9;0;0;3;6;0;0;0;0;0;0;3;6;202420;37284;239704;32716,8;0;0;272420,8;225329;219268;5533850;222298,5;5533850;5533850;5996495;188346;6471483
991312;453;453-454;14;2003;0;2354800;732950;0;1320;274282;0;110895;15359;82204;71122;35761;19746;25930;25435;56846;0;0;14050;685907;302536;6309074;1621850;31;0;31;0;0;2;33;0;0;3;28;0;0;0;0;0;2;3;30;658067;144774;802841;143118,56;0;0;945959,56;1841860;1966674;3954274;1904267;3954274;3954274;4780623;110895;5930258
1222616;453;453-454;14;1994;0;1343094;383240;0;0;33401;0;116810;22727;16735;38533;3914;4520;16986;7355;97579;0;0;24680;501090;225971;6299142;959854;17;0;17;0;0;0;17;0;0;5;12;0;0;0;0;0;0;5;12;501090;125469;626559;81705,04;0;0;708264,04;1638297;1767816;4956048;1703056,5;4956048;4956048;5458690;80521;6300926
993630;453;453-454;14;2009;0;2423354;789080,5;0;2848;429245;0;215543;5578;4051;11548;12851;3054;33772;3178;2506;0;0;28044,5;756704;280859;6263543,061;1634273,5;10;3;10;0;1;1;15;1;2;6;4;0;0;1;0;1;0;9;6;749344;134881;884225;123339,44;36862;0;1007564,44;734908;1305465;3887099;1020186,5;3887099;3887099;4731606;151098;5974001
1218095;453;453-454;14;1982;0;2555102;623048;0;7643;193152;0;230268;31906;9812;7903;8911;2224;12821;2151;34993;0;7436;73828;445992;197114;6247552;1932054;12;0;12;0;0;0;12;0;0;6;6;0;0;0;0;0;0;6;6;445992;114121;560113;72727,08;0;0;632840,08;2231110;2188928;3692450;2210019;3692450;3692450;4510290;57996;5248819
1009860;453;453-454;14;1990;0;2212970;528367;0;0;76099;0;160697;17135;5364;4331;6108;581;160392;20499;32632;0;0;44529;420250;196110;6176844;1684603;17;0;17;0;0;1;18;0;0;4;13;0;0;0;0;1;0;5;13;406330;100663;506993;83846,04;0;0;590839,04;2765897;3207862;3963874;2986879,5;3963874;3963874;4581174;330793;5589670
1228446;453;453-454;14;2006;0;1483087;227576,5;38;0;26400;0;92558;4815;3506;4295;4896;2268;1478;0;11926;0;240;75156,5;218591;100812;6149055,396;1255510,5;10;1;10;0;0;0;11;0;1;4;6;0;0;0;0;0;0;4;7;218591;58471;277062;37237,16;0;0;314299,16;782588;812280;4618878;797434;4618878;4618878;5022021;132425;5491131
1227537;453;453-454;14;2001;0;2452289;290698;592;0;59497;0;79751;6572;11239;26466;15958;5771;46419;15872;11848;0;0;10713;394761;194271;6077565;2161591;19;1;19;0;0;1;21;0;1;13;6;0;0;0;0;0;1;13;8;383741;90056;473797;93251,32;0;0;567048,32;4951253;5115809;3625276;5033531;3625276;3625276;4018825;675287;5329006
1887694;453;453-454;14;1996;0;1686705;400861,5;0;3261;59703;0;69710;23930;2868;19444;8958;3074;27893;1052;119861;0;0;61107,5;401968;176088;5986397,032;1285843,5;20;0;20;0;0;0;20;0;0;4;16;0;0;0;0;0;0;4;16;401968;93379;495347;66985,88;0;0;562332,88;1807390;1896708;4346606;1852049;4346606;4346606;4864102;57284;5551517
995301;453;453-454;14;2012;0;1223049;358941;0;0;20041;0;183049;4495;28467;16419;21222;1114;8145;30096;7511;0;0;38382;337918;135326;5983796;864108;18;0;18;0;0;1;19;0;0;7;11;0;0;0;0;0;1;7;12;336004;77697;413701;49935,16;0;0;463636,16;2429305;2343206;4760747;2386255,5;4760747;4760747;5233984;137264;5873622
