KEYPPAL_L|KEYPPAL|NUM_LOTE|COB_TIPO|LOTE_TIPO|CUL_TIPO|ESTAB_TIPO|RIEGO_SN|CANT_CUL|CTL3_AGR_LCT_PAS|CTL3_COB_CULT_PAS|CTL4_ANO_COB_PAS|CTL4_AGR_LCT_FUT|LOT_OBS
0033781D71491A3C2DA3DB20E3EC298106|0033781D71491A3C2DA3DB20E3EC2981|06||2|1|1|1|1|1||||
0033781D71491A3C2DA3DB20E3EC298107|0033781D71491A3C2DA3DB20E3EC2981|07||2|1|1|1|1|2|||2|
0033781D71491A3C2DA3DB20E3EC298108|0033781D71491A3C2DA3DB20E3EC2981|08|5|1|1|1|2|1|2|5||2|
0033781D71491A3C31D0A44CF7D8831901|0033781D71491A3C31D0A44CF7D88319|01|1|1|1|1|1|1|1||||
0033781D71491A3C31D0A44CF7D8831902|0033781D71491A3C31D0A44CF7D88319|02||2|1|1|1|1|1||||
0033781D71491A3C31D0A44CF7D8831903|0033781D71491A3C31D0A44CF7D88319|03||2|1|1|1|1|2|||2|
0033781D71491A3C32B2CE90B91ADA6401|0033781D71491A3C32B2CE90B91ADA64|01|1|1|1|1|1|1|1||||
0033781D71491A3C32B2CE90B91ADA6402|0033781D71491A3C32B2CE90B91ADA64|02||2|1|1|1|1|2|||2|
0033781D71491A3C32B2CE90B91ADA6403|0033781D71491A3C32B2CE90B91ADA64|03|5|1|1|1|2|1|2|5||2|
0033781D71491A3C36ABD6C706453B9C01|0033781D71491A3C36ABD6C706453B9C|01|1|1|1|1|1|1|1||||
0033781D71491A3C36ABD6C706453B9C02|0033781D71491A3C36ABD6C706453B9C|02||2|1|1|1|1|2|||2|
0033781D71491A3C36ABD6C706453B9C03|0033781D71491A3C36ABD6C706453B9C|03|5|1|1|1|2|1|2|5||2|
0033781D71491A3C39A2CF1CBB90D56201|0033781D71491A3C39A2CF1CBB90D562|01|1|1|1|1|2|1|2|5||2|PASADO DEL LOTE PASTO
0033781D71491A3C39A2CF1CBB90D56202|0033781D71491A3C39A2CF1CBB90D562|02|5|1|1|1|2|1|2|5||2|
0033781D71491A3C3BDBA625F81AD26801|0033781D71491A3C3BDBA625F81AD268|01|1|1|1|1|1|1|1||||NINGUNA
0033781D71491A3C3BDBA625F81AD26802|0033781D71491A3C3BDBA625F81AD268|02||2|1|1|1|1|1||||NINGUNA
0033781D71491A3C3BDBA625F81AD26803|0033781D71491A3C3BDBA625F81AD268|03||2|1|1|1|1|2|||2|NINGUNA
0033781D71491A3C3BDBA625F81AD26804|0033781D71491A3C3BDBA625F81AD268|04|1|1|1|1|1|1|1||||NINGUNA
0033781D71491A3C3BDBA625F81AD26805|0033781D71491A3C3BDBA625F81AD268|05||2|1|1|1|1|1||||NIMGUNA
0033781D71491A3C3BDBA625F81AD26806|0033781D71491A3C3BDBA625F81AD268|06||2|1|1|1|1|2|||2|NINGUNA
0033781D71491A3C3BDBA625F81AD26807|0033781D71491A3C3BDBA625F81AD268|07|1|1|1|1|1|1|1||||NINGUNA
0033781D71491A3C3BDBA625F81AD26808|0033781D71491A3C3BDBA625F81AD268|08||2|1|1|1|1|1||||NINGUNA
0033781D71491A3C3BDBA625F81AD26809|0033781D71491A3C3BDBA625F81AD268|09||2|1|1|1|1|2|||2|NINGUNA
0033781D71491A3C3BDBA625F81AD26810|0033781D71491A3C3BDBA625F81AD268|10|1|1|1|1|1|1|1||||NINGUNA
0033781D71491A3C3BDBA625F81AD26811|0033781D71491A3C3BDBA625F81AD268|11||2|1|1|1|1|1||||NINGUNA
0033781D71491A3C3BDBA625F81AD26812|0033781D71491A3C3BDBA625F81AD268|12||2|1|1|1|1|2|||2|NINGUNA
0033781D71491A3C3BDBA625F81AD26813|0033781D71491A3C3BDBA625F81AD268|13|1|1|1|1|1|1|1||||NINGUNA
0033781D71491A3C3BDBA625F81AD26814|0033781D71491A3C3BDBA625F81AD268|14||2|1|1|1|1|1||||NINGUNA
0033781D71491A3C3BDBA625F81AD26815|0033781D71491A3C3BDBA625F81AD268|15||2|1|1|1|1|2|||2|NINGUNA
0033781D71491A3C3BDBA625F81AD26816|0033781D71491A3C3BDBA625F81AD268|16|1|1|1|1|1|1|1||||NINGUNA
0033781D71491A3C3BDBA625F81AD26817|0033781D71491A3C3BDBA625F81AD268|17||2|1|1|1|1|1||||NINGUNA
0033781D71491A3C3BDBA625F81AD26818|0033781D71491A3C3BDBA625F81AD268|18||2|1|1|1|1|2|||2|NINGUNA
0033781D71491A3C3BDBA625F81AD26819|0033781D71491A3C3BDBA625F81AD268|19|5|1|1|1|2|1|2|5||2|NINGUNA
0033781D71491A3C40DEEEAE88FA408F01|0033781D71491A3C40DEEEAE88FA408F|01|1|1|1|1|1|1|1||||
0033781D71491A3C40DEEEAE88FA408F02|0033781D71491A3C40DEEEAE88FA408F|02||2|1|1|1|1|1||||
0033781D71491A3C40DEEEAE88FA408F03|0033781D71491A3C40DEEEAE88FA408F|03||2|1|1|1|1|2|||2|
0033781D71491A3C40DEEEAE88FA408F04|0033781D71491A3C40DEEEAE88FA408F|04|1|1|1|1|1|1|1||||
0033781D71491A3C40DEEEAE88FA408F05|0033781D71491A3C40DEEEAE88FA408F|05||2|1|1|1|1|1||||
